run, subrun, event, track-id, start wire, start time-tick, end wire, end time-tick 
5904, 3, 180, 3, 2588, 3131.17, 2591, 3140.49
5904, 42, 2125, 4, 2636, 4354.66, 2639, 4394.45
5905, 3, 194, 3, 1587, 4848.45, 1594, 4916.82
5905, 8, 424, 3, 1680, 2429.14, 1704, 2471.09
5905, 25, 1255, 7, 2467, 4592.09, 2484, 4769.95
5905, 35, 1755, 5, 1114, 5099.9, 1115, 5198.76
5905, 36, 1817, 9, 2068, 1072.09, 2097, 1223.93
5905, 49, 2488, 6, 1487, 2734.24, 1490, 2738.72
5905, 50, 2512, 6, 1697, 2825.69, 1705, 2865.91
5905, 55, 2754, 6, 1318, 5290.36, 1328, 5296.11
5905, 57, 2856, 0, 1796, 4455.07, 1869, 4690.32
5905, 58, 2950, 5, 2179, 4839.4, 2185, 4845.56
5906, 3, 158, 6, 1310, 4800.33, 1323, 4817.25
5906, 8, 430, 6, 1964, 3178.58, 1984, 3227.91
5906, 14, 734, 1, 1633, 3025.83, 1644, 3068.34
5906, 23, 1175, 8, 1305, 4767.99, 1323, 4849.98
5906, 38, 1942, 6, 120, 2748.41, 126, 2775.31
5906, 60, 3039, 4, 2187, 2748.14, 2229, 2990.11
5906, 73, 3697, 8, 2283, 3869.64, 2293, 3936.83
5906, 74, 3723, 3, 1925, 5256.96, 1928, 5264.3
5906, 76, 3825, 2, 2714, 2937.08, 2771, 3144.2
5906, 76, 3825, 4, 2687, 3055.67, 2709, 3138.47
5906, 77, 3859, 6, 1648, 1049.34, 1660, 1151.4
5906, 77, 3892, 4, 3073, 1318.06, 3077, 1331.99
5906, 89, 4478, 1, 2814, 4228.95, 2824, 4236.58
5906, 97, 4866, 7, 1651, 2415.31, 1675, 2502.17
5906, 102, 5136, 1, 946, 1104.17, 952, 1144.59
5906, 107, 5390, 1, 1259, 4371.38, 1307, 4456.29
5906, 112, 5634, 4, 2181, 3764.78, 2207, 3821.87
5906, 118, 5937, 8, 2767, 3988.58, 2777, 4024.29
5906, 124, 6212, 4, 1104, 2245.78, 1133, 2487.03
5906, 140, 7037, 3, 1713, 1879.16, 1754, 2037.52
5906, 144, 7222, 6, 449, 3379.63, 450, 3444.49
5906, 163, 8173, 4, 3202, 1800.47, 3225, 1853.26
